,BANK,ADDRESS,CITY,DISTRICT,STATE,lat,lon
0,ICICI BANK LIMITED,"ICICI BANK TOWERS, BANDRA KURLA COMPLEX, MUMBAI 400051",MUMBAI,GREATER BOMBAY,MAHARASHTRA,19.06353,72.86396100000002
1,ICICI BANK LIMITED,"ICICI BANK TOWERS, BANDRA KURLA COMPLEX, BANDRA E,MUMBAI-400051",MUMBAI,GREATER BOMBAY,MAHARASHTRA,19.06353,72.86396100000002
3,ICICI BANK LIMITED,"MAIN BRANCH BADRINATH MARG, KOTDWARA, UTTARAKHAND-246149",KOTDWARA,GARHWAL,UTTARAKHAND,29.7467723,78.5217239
4,ICICI BANK LIMITED,JAGDISH BUILDING HAZRATGANJ LUCKNOW 226001,LUCKNOW,LUCKNOW,UTTAR PRADESH,26.853705,80.94842
5,ICICI BANK LIMITED,156/1 CIVIL LINES JHANSI (U.P) -  284001,JHANSI,JHANSI,UTTAR PRADESH,25.4467449,78.5675047
8,ICICI BANK LIMITED,"NEAR NAGAR PALIKA,CIVIL LINES,AZAMGARH-276001",AZAMGARH,AZAMGARH,UTTAR PRADESH,26.053949,83.17781599999999
10,ICICI BANK LIMITED,"ZILA SAHAKARI BANK LIMITED HARIDWAR, H.O.- B.T. GANJ ROORKEE,DISTT HARIDWAR(UTTARAKHAND)-247667",ROORKEE,HARIDWAR,UTTARAKHAND,29.87526949999999,77.8877705
13,ICICI BANK LIMITED,H.NO.11 15 107 1ST FLOOR O CITY ROAD KASHIBUGGA WARANGAL 506002,WARANGAL,WARANGAL,TELANGANA,17.9846037,79.61924119999999
15,ICICI BANK LIMITED,VIKRAMADITYA CLOTH MARKET FAZALPURA UJJAIN ( M.P)456001,UJJAIN,UJJAIN,MADHYA PRADESH,23.1916614,75.7797968
20,ICICI BANK LIMITED,"DISTRICT COOPERATIVE BANK LTD,VARANASI TELIYABAGH , VARANASI",VARANASI,VARANASI,UTTAR PRADESH,25.3164929,83.009901
22,ICICI BANK LIMITED,SARDAR PATEL ROAD KACCHI BAZAR PARBHANI 431401.,PARBHANI,PARBHANI,MAHARASHTRA,19.267997,76.775062
24,ICICI BANK LIMITED,"4 VISHNU VIHAR AJABPUR KALAN BYPASS ROAD DEHRADUN,UTTARANCHAL",DEHRADUN,DEHRA DUN,UTTARAKHAND,30.2898708,78.05142940000002
25,ICICI BANK LIMITED,"2,MAHATMA GANDHI MARG LUCKNOW-226001,UTTAR PRADESH",LUCKNOW,LUCKNOW,UTTAR PRADESH,26.8486245,80.9435787
29,ICICI BANK LIMITED,THE URBAN CO OP BANK LTD NEAR S T STAND DHARANGAON,DHARANGAON,JALGAON,MAHARASHTRA,21.008129,75.27328899999999
30,ICICI BANK LIMITED,A P- VITA TAL-KHANAPUR DIST SANGLI 415311,VITA,SANGLI,MAHARASHTRA,17.2229161,74.5312647
37,ICICI BANK LIMITED,MAIN OFFICE 23 G.CAR STREET TIRUPATI AP,TIRUPATI,CHITTOOR,ANDHRA PRADESH,13.6313,79.41969999999999
