,BANK,ADDRESS,CITY,DISTRICT,STATE,lat,lon
0,PUNJAB NATIONAL BANK,"NEFT PROCESSING CENTRE FOR SARVA U P GRAMIN BANK,C 39 UPON 5 JAGRITI VIHAR MEERUT 250004 U P",MEERUT,MEERUT,UTTAR PRADESH,28.9589833,77.7478623
3,PUNJAB NATIONAL BANK,POST OFFICE SPEED POST CENTRE BUILDING MARKET ROAD NEW DELHI 110001,DELHI,DELHI,DELHI,28.6314102,77.2058594
6,PUNJAB NATIONAL BANK,"HEAD OFFICE IT DIVISION, 5, SANSAD MARG, NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.623427,77.211944
9,PUNJAB NATIONAL BANK,SHOP NO 37 40 PLOT NO 58 SOLAPUR ROAD HADAPSAR PUNE MAHARASHTRA 411028,HADAPSAR,PUNE,MAHARASHTRA,18.4987611,73.9513776
10,PUNJAB NATIONAL BANK,"PNB BOKARO CIRCLE BOKARO STEEL CITY SEC IV , BOKARO JHARKHAND 827001",BOKARO,BOKARO,JHARKHAND,23.6664895,86.1431909
16,PUNJAB NATIONAL BANK,7TH FLOOR MAKER TOWERS F WINGS CUFFE PARADE COLABA MUMBAI MAHARASHTRA 400005,MUMBAI,GREATER BOMBAY,MAHARASHTRA,18.916366,72.81710799999999
21,PUNJAB NATIONAL BANK,"PUNJAB NATIONAL BANK,USBA COMPLEX, SEC-2, ALPHA, GREATER NOIDA , UTTARPRADESH  201308",NOIDA,GAUTAM  BUDDHA  NAGAR,UTTAR PRADESH,28.474281,77.517457
26,PUNJAB NATIONAL BANK,"NASRULLAGANJ,DIST.SEHORE MADHYA PRADESH 466331",NASRULLAGANJ,SEHORE,MADHYA PRADESH,22.6819394,77.2716804
27,PUNJAB NATIONAL BANK,"BASOLI, TEH.BARAUT, DIST.BAGHPAT UTTAR PRADESH 250623",BARAUT,BAGHPAT,UTTAR PRADESH,29.1733,77.2623627
32,PUNJAB NATIONAL BANK,"PUNJAB  NATIONAL BANK, E-30 A ,SEC-3  NOIDA UP  201301",NOIDA,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,28.5781172,77.3162584
37,PUNJAB NATIONAL BANK,"21, ORANGE NAGAR KHARBI DIST.NAGPUR MAHARASHTRA 440008",NAGPUR,NAGPUR,MAHARASHTRA,21.126743,79.1343346
38,PUNJAB NATIONAL BANK,"PLOT NO.5,WADDHMNA SQUARE AMRAVATI ROAD,DIST,NAGPUR MAHARASHTRA 440023",NAGPUR,NAGPUR,MAHARASHTRA,21.1443033,78.97513409999999
40,PUNJAB NATIONAL BANK,"713,NEW KARHERA COLONY, MOHANNAGAR, GHAZIABAD UTTAR PRADESH 201007",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,28.6896783,77.3785135
41,PUNJAB NATIONAL BANK,"BHOWALI, RANIKHET ROAD BHOWALI UTTARANCHAL 263132",BHOWALI,NAINITAL,UTTARAKHAND,29.380454,79.518613
42,PUNJAB NATIONAL BANK,IFTM UNIVERSITY VILL LODIPUR RAJPUT MORADABAD UTTAR PRADESH 244001,LODHIPUR RAJPUT,MORADABAD,UTTAR PRADESH,28.8200189,78.6429132
43,PUNJAB NATIONAL BANK,NEAR GULAB BADI RAMPUR ROAD MORADABAD UTTAR PRADESH 244001,MORADABAD,MORADABAD,UTTAR PRADESH,28.821461,78.785808
45,PUNJAB NATIONAL BANK,PLOT NO 1 SUMAN HOUSING COLONY BOOSAREDDYGUDA WEST MARREDPALLY TELANGANA 500026,HYDERABAD,HYDERABAD,TELANGANA,17.4499092,78.50413619999999
46,PUNJAB NATIONAL BANK,"GUMANI WALA, SHYAMPUR DEHRADUN UTTARANCHAL 249204",SHYAMPUR,DEHRA DUN,UTTARAKHAND,30.077722,78.24619059999999
48,PUNJAB NATIONAL BANK,"BASANT VIHAR, NEAR AMBEDKER CIRCLE ALWAR RAJASTHAN 301001",ALWAR,ALWAR,RAJASTHAN,27.5730567,76.6139848
49,PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK S-1 BLOCK SHALIMAR GARDEN EXT II SAHIBABAD GHAZIABAD UTTAR PRADESH 201005,SAHIBABAD,GHAZIABAD,UTTAR PRADESH,28.689373,77.339423
50,PUNJAB NATIONAL BANK,PUJAB NATIONAL BANK BHATTA GREATER NOIDA GAUTAM BUDH NAGAR UTTAR PRADESH 201301,NOIDA,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,28.5896876,77.3151281
51,PUNJAB NATIONAL BANK,"MAJHAULI RAJ, SALEMPUR , DEORIA UTTAR PRADESH 274506",SALEMPUR,DEORIA,UTTAR PRADESH,26.2968044,83.9572268
52,PUNJAB NATIONAL BANK,"TARAMANDAL, PO SHIDDARTH ENCLAVE GORAKHPUR UTTAR PRADESH 273017",GORAKHPUR,GORAKHPUR,UTTAR PRADESH,26.7242721,83.3916612
53,PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK GANDHI CHOWK CHAPRA BIHAR 841301,SARAN,CHAPRA,BIHAR,25.7784411,84.7436658
54,PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK SASAMUSA DIST GOPALGANJ BIHAR,MUZAFFARPUR,MUZAFFARPUR,BIHAR,26.5232257,84.36333309999999
62,PUNJAB NATIONAL BANK,"H.NO. 8-2-293/82/F/C-21 PLOT NO 21, TYPE C, FILMNAGAR, HYDERABAD, TELANGANA",HYDERABAD,HYDERABAD,TELANGANA,17.4389595,78.3584557
64,PUNJAB NATIONAL BANK,CHAUDHARY RANBIR SINGH UNIVERSITY JIND HARYANA 126102,JIND,JIND,HARYANA,29.2941788,76.3398816
65,PUNJAB NATIONAL BANK,"DIBRUGARH UNIVERSITY,NEAR MAIN ADMIN BLDG, DIBRUGARH ASSAM 786001",DIBRUGARH,DIBRUGARH,ASSAM,27.4491203,94.89724029999999
67,PUNJAB NATIONAL BANK,"1ST FLOOR ,TOPIWALA BUILDING ,TOPIWALA THEATRE COMPLEX ,GOREGAON WEST MH MUMBA 400062",MUMBAI,GREATER BOMBAY,MAHARASHTRA,19.1639166,72.84772339999999
74,PUNJAB NATIONAL BANK,H NO-22-3-24/1 MUCHIMILLI RAMACHANDRAPURAM EAST GODAVARI DIST ANDHRA PRADESH 533255,RAMPACHODAVARAM,EAST GODAVARI,ANDHRA PRADESH,16.8362652,82.02805939999999
76,PUNJAB NATIONAL BANK,"PUNJAB NATIONAL BANK ICD RORI, MODINAGAR, GHAZIABAD UTTAR PRADESH 201201",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,28.8590756,77.5931696
77,PUNJAB NATIONAL BANK,"MEDICAPS COLLEGE CAMPES,AB ROAD, PIGDAMBAR, DIST. INDORE MADHYA PRADESH 453331",INDORE,INDORE,MADHYA PRADESH,22.6198202,75.8045084
85,PUNJAB NATIONAL BANK,"GILAULA, DIST.SHRAWASTI UTTAR PRADESH 271835",SHRAVASTI,SHRAVASTI,UTTAR PRADESH,27.5459314,81.80262239999999
86,PUNJAB NATIONAL BANK,"IKAUNA , DIST.SHRAWASTI UTTAR PRADESH 271845",SHRAVASTI,SHRAVASTI,UTTAR PRADESH,27.5315002,81.9671185
93,PUNJAB NATIONAL BANK,HOSPITAL ROAD PAKRI MORE SIWAN BIHAR,SIWAN,SIWAN,BIHAR,26.228065,84.366706
94,PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK SUPRIYA ROAD BETIAH BIHAR 845438,BHITIA,BANKA,BIHAR,26.8007787,84.50523729999999
107,PUNJAB NATIONAL BANK,"BADAULI BANGAR, NOIDA, GAUTAM BUDH NAGAR UTTAR PRADESH 201306",NOIDA,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,28.4609362,77.4730653
109,PUNJAB NATIONAL BANK,HASARI DISTT JHANSI UTTAR PRADESH 284305,HASARI,JHANSI,UTTAR PRADESH,25.4024931,78.5618265
110,PUNJAB NATIONAL BANK,OPPOSITE BLOCK BDO SUAR DIST RAMPUR SUAR UTTAR PRADESH 244924,SUAR,RAMPUR,UTTAR PRADESH,29.0310043,79.0592708
112,PUNJAB NATIONAL BANK,"NO 1 11 61,NEAR GHANDHI CHOWK RAICHUR RAICH KARNATAKA 584101",RAICHUR,RAICHUR,KARNATAKA,16.4161053,76.93453339999999
119,PUNJAB NATIONAL BANK,"NEAR MAIRWA BLOCK,MAIRWA DIST SIWAN MAIRW BIHAR 841239",MAIRWA,SIWAN,BIHAR,26.2355939,84.15324150000001
121,PUNJAB NATIONAL BANK,"NEAR SABJI MANDI,PURANI MANDI SRIGANGANAGAR SRIGA RAJASTHAN 335001",GANGANAGAR,GANGANAGAR,RAJASTHAN,29.9277829,73.8622453
122,PUNJAB NATIONAL BANK,61A 28C OPP SKD HOSPITAL KRISHNA NAGAR LUCKNOW UTTAR PRADESH 226023,LUCKNOW,LUCKNOW,UTTAR PRADESH,26.7976311,80.8866618
125,PUNJAB NATIONAL BANK,JAWAHAR HOSPITAL 14 K K NAGAR MAIN ROAD MADURAI TAMILNADU 625020,MADURAI,MADURAI,TAMIL NADU,9.9267304,78.1426223
139,PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK BHANGROTU BHNGR HIMACHAL PRADESH 175008,MANDI,MANDI,HIMACHAL PRADESH,31.6093968,76.917425
140,PUNJAB NATIONAL BANK,"CHOWK BAZAR JWALAPUR,HARIDWAR UTTARANCHAL 249407",HARDWAR,HARIDWAR,UTTARAKHAND,29.9237011,78.1070335
142,PUNJAB NATIONAL BANK,"VILLAGE KUKRA,BLOK MUZAFFARNAGAR UTTAR PRADESH 251001",KAKRA,MUZAFFARNAGAR,UTTAR PRADESH,29.4701838,77.7315533
145,PUNJAB NATIONAL BANK,"1384 BY 11,NANDANAGAR INDORE MADHYA PRADESH 452002",INDORE,INDORE,MADHYA PRADESH,22.713029,75.83887
150,PUNJAB NATIONAL BANK,KHARGONE ROAD SANAWAD DIST KHARGONE MADHYA PRADESH 451111,KHARGONE,RAISEN,MADHYA PRADESH,22.1714467,76.0654065
151,PUNJAB NATIONAL BANK,"SADAR BAZAR,NEAR BANK OF INDIA,SAGOUR PITHAMPUR,DIST DHAR MADHYA PRADESH 454774",PITHAMPUR,DHAR,MADHYA PRADESH,22.5754171,75.6417
152,PUNJAB NATIONAL BANK,NIHALPUR MANDI DIST INDORE MADHYA PRADESH 452013,INDORE,INDORE,MADHYA PRADESH,22.6499729,75.8425013
156,PUNJAB NATIONAL BANK,"SHOP MO 1,23 AND 3,CENTRUM PLAZA GURGA HARYANA",GURGAON,GURGAON,HARYANA,28.4633751,77.03284699999999
159,PUNJAB NATIONAL BANK,"WAHAB WALA,NEAR ABOHAR DISTT FAZILKA PUNJAB 152116",ABOHAR,FEROZPUR,PUNJAB,30.028265,74.20204799999999
160,PUNJAB NATIONAL BANK,BUS STAND ROAD NEAR ESI HOSPITAL LUDHI PUNJAB,LUDHIANA,LUDHIANA,PUNJAB,30.9006888,75.84621419999999
161,PUNJAB NATIONAL BANK,"PNB,TILE SHAHBAZPUR GHAZIABAD UTTAR PRADESH 201102",BHOJPUR,GHAZIABAD,UTTAR PRADESH,28.7233855,77.32302120000001
162,PUNJAB NATIONAL BANK,T VESU SURAT GUJARAT 395007,VESU,SURAT,GUJARAT,21.1395345,72.7706938
165,PUNJAB NATIONAL BANK,JAWANS BHAVAN NO 106 GANDHIJI ROAD ERODE TAMIL NADU 638001,ERODE,ERODE,TAMIL NADU,11.333833,77.72784800000001
169,PUNJAB NATIONAL BANK,"DADH,POST OFFICE DADH TEHSIL PALAMPUR DIST KANGRA HIMACHAL PREDESH 176052",PALAMPUR,KANGRA,HIMACHAL PRADESH,32.1103786,76.53650669999999
178,PUNJAB NATIONAL BANK,"VPO CHAMAL,DISTT SIRSA HARYANA 125055",SIRSA,SIRSA,HARYANA,29.584033,74.959966
179,PUNJAB NATIONAL BANK,"NEW ANAJ MANDI,FATEHABAD HARYANA 125050",FATEHABAD,FATEHABAD,HARYANA,29.5139528,75.4522341
183,PUNJAB NATIONAL BANK,"NEAR AXIS BANK,TIJARA ROAD,KISHANGARH ALWAR RAJASTHAN 301405",KISHANGARHBHAS,ALWAR,RAJASTHAN,27.818,76.72999999999999
184,PUNJAB NATIONAL BANK,"PNB, NAWALGARH ROAD, DADIYA, DIST. SIKAR RAJASTHAN 332024",DADIYA,SIKAR,RAJASTHAN,27.7249836,75.2167248
190,PUNJAB NATIONAL BANK,BACHAT BHAWAN UNA DIST UNA HP UNA HIMACHAL PRADESH 174303,UNA,UNA,HIMACHAL PRADESH,31.4670531,76.2621456
194,PUNJAB NATIONAL BANK,"SCO 121,HUDA MARKET SECTOR 46,GURGAON GURGA HARYANA",GURGAON,GURGAON,HARYANA,28.4342366,77.0590409
195,PUNJAB NATIONAL BANK,TAGORE ENGG COLLEGE PREMISES RATTINAMANGALAM TAMILNADU 600127,CHENGALPATTU,KANCHEEPURAM,TAMIL NADU,12.8617111,80.13127630000001
197,PUNJAB NATIONAL BANK,"JALANDHAR HEIGHTS,66 ROAD,VILL PHOLRIWAL,DISTT JALANDHAR PUNJAB 144022",PHOLARIWALA,JALANDHAR,PUNJAB,31.2695833,75.585278
199,PUNJAB NATIONAL BANK,487 A BY 6 GARHI CANTT DEHRA UTTARANCHAL 248003,GARHI CANTT,DEHRA DUN,UTTARAKHAND,30.3414619,78.062354
