,article_body,category,city,date,heading,sentiment,link,paper
0,"The currency demonetization came as a surprise to people on Tuesday, with many not prepared for the immediate outcome. The Kannada industry has taken a beating, given how this short notice makes it inconvenient for many filmmakers to proceed/plan their shoot schedules. Many filmmakers were stumped with the decision, but hailed PM Narendra Modi's step to curb corruption and black money.    An industry insider says, 'It is not easy to suddenly begin working with cheques, given that the industry has always dealt with cash transactions across the board.'    Shooting of several under-production films has apparently been temporarily halted as production teams are unable to source smaller denomination notes to make payments to crew members, as well as for other day-to-day incidental expenses, including food and beverages, rentals on props like vehicles, etc.    While there is no official confirmation on this, a source at the Karnataka Film Workers and Technicians Union (KFWTU) admitted that several producers called to request that work progress as usual, with the promise of arranging funds to be disbursed as payments in the next couple of days. 'Production teams have asked for 2-3 days time to organize alternate payment options. We have given them the option to make cheque payments, which should solve the problem, but if they are dealing with black money, that is an issue,' says Chennaveerappa of the KFWTU.    Industry insiders are also saying that this could affect new films that are in the pipeline. 'There will be a lot of re-evaluation of investments from producers, as they borrow money from financiers who have liquid cash at their disposal always. Some producers will have to seek newer avenues,' says the source.    Another interesting trend could be greater investment from corporate entities in Sandalwood. 'The industry has earlier seen some big corporate names from Bollywood enter, but to no avail. This might break the monopoly of certain people and allow private and corporate bodies in Sandalwood,' adds another industry watcher.    John Jani Janardhan release pushed    The release of the Kannada film John Jani Janardhan, which was to hit movie halls on November 11, has been pushed. 'Audiences have no money for their livelihood, how will they come and watch a film? The percentage of those who would buy tickets online is minimal and we cannot risk releasing the film at a time like this. It will take some time for things to revert to normalcy. We will release the film on December 9,' says producer Padmanabha Gowda.",entertainment,,"Updated: Jan 24, 2017, 12.52 PM IST",Kannada film shoots stalled because of demonetization,,http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/Kannada-film-shoots-stalled/articleshow/55332090.cms,toi
1,"CHENNAI: Travellers and tourists had a tough time at airports and railway stations while many travel agents suspended booking of tours and flight tickets on Wednesday, a day after the Union government declared Rs500 and Rs1,000 notes invalid. Though railway stations were accepting the currency, a few counters ran out of change and the absence of ATMs aggravated the issue.    Sources said foreigners who landed at Chennai and Trichy had difficulty changing dollars into the required amount of Indian rupee while those who were returning could not return the currency and buy dollars. Tourists at small towns had to face difficulty because many of the shops do not have card reading machines.    The situation at Chennai airport was better because cards are accepted for food and beverages at the terminals and airlines accepted Rs 500 and Rs 1,000 notes for booking tickets. However, Indigo did not allow use of the denomination for in-flight purchase and to pay excess baggage fee at the airport.    N Sadhakathulla who landed at Trichy said, ""During my travel from Kuala Lumpur, I came to know about the announcement. But I thought that we can get the required Rs 100 currencies from 'Currency Note Exchange Desk' at Trichy airport. However, we could not get the required volume.""    Those who had visa appointments had a difficult time because VFS did not accept the denomination which were declared invalid.    Travel Agents Federation of India office-bearer Basheer Ahmed said, ""Ticketing had to be temporarily stopped because of payment problem to IATA. We are also in talks with VFS to accept the currency. Today people who went to pay visa fees had a problem.""    Domestic and foreign tourists faced a tough time buying food and making purchases at restaurants and shops at small tourist towns like Ooty where many establishments do not have card reader machines and refused to accept the currency notes. In most of the tourist spots shops that sell souvenirs and local delicacies accept only cash. A few tourists missed on buying Nilgiri tea and home-made chocolates because the shops that sell these items accept cash only.    L Rakesh and Sharmila, who reached in Ooty on Tuesday morning from Hyderabad for a four-day holiday, suffered because they were strangers and shops were not accepting the money they had. Hiring an autorickshaw for visiting tourist spots became very difficult and at the end they were left with only option of walking the possible distances they could.    ""We have Rs 1,000 and Rs 500 notes only. Breakfast is free at the hotel so we are able to manage. But for other expenses during the day we are finding it very difficult"", he said.    Those who travelled by Omni buses did not face much problem because tickets were booked online. An Omni bus operator said, ""There was only 40% to 30% occupancy on buses of which 70% of the tickets were booked online. We accepted the currency because we did not want to turn away customers.""    The invalid notes were accepted at railway stations. But there was chaos at ticket counters at Central and Egmore because staff ran out of Rs100 notes. A railway official said, ""We gathered more liquid cash of Rs100 denomination soon after the announcement came. But that was also not adequate.""",city,chennai,"Nov 10, 2016, 01.47 AM IST","Demonetisation puts tourists in trouble, spoils plans",,http://timesofindia.indiatimes.com//city/chennai/Demonetisation-puts-tourists-in-trouble-spoils-plans/articleshow/55340898.cms,toi
2,"PANAJI: Fortunes of the five offshore casino operators in Goa seemed to hang as uncertain as the ball spinning on the roulette table after news broke out of the demonetization of 500 and 1,000 notes on Tuesday night.    Casino operators were left baffled and wondering how business will continue. ""So you want to catch a thief, and to do so, you light your house on fire. The thief may be caught, but your house has been burned,"" an offshore casino operator told TOI.    Reacting to the PM's announcement on Tuesday night, chief minister Laxmikant Parsekar had said ""Casinos are likely to get affected. All those with black money will be affected. Those with clean money need not worry.""    Even though no official comments were made by casino managements, several sources indicated a significant dip in operations. While some casino operators have stopped accepting notes of 500 and 1,000 denominations, others continue to accept the scrapped currency notes up to a specified limit.    ""Our company seniors have directed us to accept 500 and 1,000 notes for now, but with an upper limit of 5,000. No one can buy chips worth more than that and this is applicable to payments also made by credit cards,"" said a casino employee, adding that winning proceeds are also paid to punters in the denominations of 500 and 1,000.    An operating head of an offshore casino said that business has been affected badly, and they have been running short of currency notes to reward winners. ""Most are unwilling to accept 500 and 1,000 notes,"" he said.    Casinos, which earn one-third of Goa's total entertainment tax, have also imposed a restriction on gamblers taking away the winning chips in order to stop them from being used to convert black money. It is also feared that state coffers may be hit by the dip in casino business in the next few months. Commissioner, commercial taxes, Dipak Bandekar said ""We are receiving information of casino operations being hit"". Cars were seen lining up on Wednesday night along the Mandovi river promenade where customers are ferried to the offshore vessels. For the record, offshore casino vessels also offer entertainment and dining facilities which attracts tourists as well as locals.",city,goa,"Updated: Nov 10, 2016, 12.28 PM IST",Currency demonetization puts odds against casinos,,http://timesofindia.indiatimes.com//city/goa/Currency-demonetization-puts-odds-against-casinos/articleshow/55341027.cms,toi
3,"Even as gold prices surged to a four-month high on Wednesday, stocks of jewellery and real estate companies plunged on the bourses due to fears of the impact of demonetisation of Rs 500 and Rs 1,000 notes on the sector. While the Tribhovandas Bhimji Zaveri scrip nosedived 14% to Rs 68 on the BSE, the Thangamayil Jewellery stock crashed 12% to Rs 211. The PC Jeweller scrip fell by 9%, Gitanjali Gems and Jewellery 7% and Titan 5.3%. Nearly three-fourths of all jewellery purchases are with cash.    Real estate stocks also took a hit with Indiabulls Real Estate and DLF stocks crashing by 18.5% and 17.5% on the BSE, respectively. ""Bullion and real estate sectors have not been reporting their incomes properly. The markets won't be comfortable in giving them valuations if they don't report actual income,"" said Deven R Choksey, MD, KR Choksey Shares and Securities.    G Chokkalingam, founder and MD, Equinomics Research and Advisory, said, ""The outlook for jewellery demand is very bad. The drive against black money will curb demand for gold and jewellery in a big way.""    A Chennai-based jeweller said, ""Demonetisation means the economy is going to be slow for the next couple of months and this will reflect on the stock prices as well. Most investments would slow down as the sector would be impacted with reduction in the number of transactions.""",business,,"Nov 10, 2016, 04.00 AM IST","Demonetisation hits jewellery, realty stocks",,http://timesofindia.indiatimes.com//business/india-business/Demonetisation-hits-jewellery-realty-stocks/articleshow/55341477.cms,toi
4,"Nagpur: Like most parts of the country, the cities and towns of Vidarbha too witnessed chaos and panic on Wednesday due to demonetization of Rs500 and Rs1,000 currency notes. Those not having notes of Rs100 or lesser denomination faced problems in buying things including medicines. Petrol stations are authorized to take demonetized notes but most of them soon ran out of notes of smaller denomination and had to close down.    Various people reacted differently to the government's move. Even those viewed it favourably wished that it should have been done gradually so as to avoid inconvenience to common people.    Savita Ther, a domestic servant from Yavatmal, said, that she could not buy medicines as she did not had notes of smaller denomination. ""I had four Rs500 notes, which was given to me by my employer. I did not have notes of smaller denominations. The pharmacy shop owner simply refused to accept a Rs500 note,"" she added.    Anandrao Bhongle, a lawyer from Wani, welcomed the initiative by Modi govt to contain the black money and counterfeit notes but said that there should have been a liberal policy to enable the poor people to ensure that they could buy items of daily use.    Shopkeepers, professionals and their customers faced many problems. Dipak Bhutada, a Wardha grocery shop owner said that customers offered him only demonetized currency on Wednesday. ""As I did not have that much change my business went down by 50%,"" he told TOI.    Prakash Kahare of Chandrapur had a similar experience. ""I had little cash of small denomination notes in the morning to run my business throughout the day. Hence I entertained only those coming with notes of small denomination or those wanting to spend entire Rs500 or Rs1000 note or at least more than 80% of it at my shop.""    Dr Sachin Pavade of Wardha, said that people only offered high denomination notes. ""We refused them but as health care is an emergency service, we offered it on the promise of patients paying up later,"" he added.    Petrol station owners across the region were not so generous. In many cases they shut shop as they had run out of notes of smaller denomination. Most of the owners slammed the government for not giving them some time to arrange for small denomination notes.    Demonetization seems to have hit the MLC elections in Gondia and Bhandara districts. Rumours are rife that the public representatives, who will vote in this election, are reportedly asking for gold ornaments from the candidates and are refusing to take cash.",city,nagpur,"Nov 10, 2016, 04.23 AM IST",Vid towns witness chaos following demonetization,,http://timesofindia.indiatimes.com//city/nagpur/Vid-towns-witness-chaos-following-demonetization/articleshow/55340941.cms,toi
5,"Nagpur: According to experts, educational institutions, particularly those imparting professional education, would be severely hit by the PM's Narendra Modi's latest move to curb the black money as most of them prefer cash from the students in case, a seat is allotted under the management quota.Moreover, parents having unaccountable income also prefer the same mode. In many institutions, especially in private medical colleges, there are cash vending machines for counting of huge number of notes, as they charge about Rs1 crore-Rs 3 crore for a single MBBS or MD seat. According to parents, even colleges running courses like BA, BCom and BSc on no-grant basis, tell them to pay half amount of fees in cash. They also extort money from the students under one or other pretext like the capitation fees, building funds and others.""Because of demonetization of Rs500 and Rs1000 notes, the only mode of payment in cash will be Rs100 notes. Paying fees will now result in accumulation of such a huge amount of currency that it will automatically hog limelight,"" feels economist Vinayak Deshpande, who is also heading Nagpur University's Business Management department.Expectedly, the college managements are not ready to come out in open about their views. However, they told TOI that their finances would be surely affected and they wouldn't have any other option than to hike the fees. The academic heads in these colleges however displayed brave face by stating that there wouldn't be any affect, as they accept the fees in cheques or demand drafts. Vice chancellor of Datta Meghe Institute of Medical Sciences (DMIMS), Dilip Gode, felt that after introduction of entrance exams like NEET, there was complete transparency in their fee structure. ""Students are admitted on the basis of merit, therefore, there is no question of donations whatsoever,"" he said.Some authorities feel that it might get tedious for students to pay the fees as they probably won't have access to the new denominations. Principal of Ambedkar College, PC Pawar said there won't be any effect on admissions. ""Demand for change will increase but overall, it's a smart move by the government which would benefit the students community ultimately in long run,"" he said.Some parents hailed the move stating that now the college wouldn't dare to ask them for donations in cash. ""Even if they demanded, we could tell them that it won't be possible for them to carry big cash. We could even lodge a complaint against them,"" they said. (With inputs from Sakina Dawood)",city,nagpur,"Nov 10, 2016, 04.24 AM IST",Demonetization to hit private colleges hard,,http://timesofindia.indiatimes.com//city/nagpur/Demonetization-to-hit-private-colleges-hard/articleshow/55341053.cms,toi
6,"Visakhapatnam: With the central government announcing demonetisation of Rs 500 and Rs 1,000 notes, realty sources expect that land prices may drop drastically in the next six months to one year's time. Incidentally, gold prices have shot up to around Rs 1,800 per 10 grams overnight increasing from around Rs 28,700 on Tuesday to Rs 30,500 on Wednesday. However, traders said there was not much surge in gold transactions following the demonetisation drive.According to realty sources, apartment prices may remain stagnant for the next few months, while prices of land, especially plots and bulk land, are expected to take a hit. ""In the long run, prices of layouts, plots and bulk land will witness a drop as majority of the black money is parked in the form of land. So, now with the demonetisation drive, it will be difficult for these people who have illegally amassed such assets to sell their land,"" said a prominent builder in the city on conditions of anonymity.Another builder said, ""There are two types of investments in real estate -- one in the form of built-up space such as apartments and the other in the form of plots. Most of the apartment transactions are in white as the buyers are people who avail housing loans and purchase properties from builders. The second form is purchase of plots. If the government is able to plug the loopholes successfully, then purchase of new land by the people with black money will become difficult. In the long run, it is good for prospective buyers and also builders.""Furthermore, he said, ""The main raw material for apartments is land and plots are now making up for almost 50-60% of the cost of built-up space. If land prices fall, then apartments will become more affordable for people.""However, he said, ""Once the price of property reaches a certain level, then it will remain stagnant for a while. Further escalation which is usually seen year-on-year will not be there.""Referring to the situation in and around Vizag, a layout developer on conditions of anonymity said, ""Some of the people had purchased bulk land in areas such as Bhogapuram and Sabbavaram expecting to reap windfalls due to various airport and educational projects respectively. These people had doubled the prices citing demand during the last one-and-half years. They will definitely take a hit.""Meanwhile, the Vizagapatam Chamber of Commerce and Industry welcomed the demonetisation move and said, ""There is an estimated Rs 16 lakh crore in circulation and a bulk of that is in the form of unaccounted funds. In the short term, gold price may go up as a safe haven for investment. Real estate transactions will be severely impacted due to its nature and will see a downward trend in short to middle term. However its a welcome move in the long term. This move will help flush out unaccounted, counterfeit money as well as money used to fund terrorism. Though the government will expand its income tax payer base drastically, it will need to gear up to meet the requirements of the citizens with respect to electronic payments, small business transaction costs, government departments will need the wherewithal to deal with the flood of new assesees.""",city,visakhapatnam,"Nov 10, 2016, 06.00 AM IST",CASH CONUNDRUM CONTINUESRealty prices may drop following demonetisation,,http://timesofindia.indiatimes.com//city/visakhapatnam/CASH-CONUNDRUM-CONTINUESRealty-prices-may-drop-following-demonetisation/articleshow/55339250.cms,toi
7,"KOLHAPUR: The first day after Prime Minister Narendra Modi declared demonetisation of Rs 500 and Rs 1,000 currency notes, consumers in the city felt the heat as every shop owner and trader showed unwillingness in accepting the banned notes.    The decision also had an impact on eateries, local transport auto-rickshaw, retail owners and jewellers.    At many shops, the owners had displayed boards, stating that do not accept Rs 500 and Rs 1,000 currency notes. The demonetisation also led to a surge in gold prices from Rs 3,100 per gram to Rs. 3,400.    The jewellery shops were flooded on Tuesday night with customers buying gold. As the news spread, the Gujari area where jewellery shops are located was flooded with cash-rich people to buy gold. However, the same area was completely deserted on Wednesday and shop owners had put boards that Rs 500 and Rs 1000 notes will not be accepted.    ""On Tuesday people thronged our shops with available cash and purchased jewelleries. We cannot declare the amount of transaction, but have maintained proper account and will exchange the notes as per the rules,"" said owner of a jewellery shop based in Gujari.    According to sources, at some places the rates of gold jewellery were as high as Rs 45,000 per 10 gram and people were still buying it to convert their money into asset.    ""We were happy that the official rate of gold shot up, but rarely any customer visited our shop as he was not having enough legal currency. We denied accepting notes of Rs 500 and Rs 1,000,"" said another jeweller.    Impact on retail business: The retail business in the city was also affected as shop owners insisted on currency notes other than Rs 500 and Rs 1,000. People having debit and credit cards opted for electronic transactions and the business was as usual at the shops having this facility.    ""I woke up early in the morning and as usual visited grocery shop to buy eggs and bread. I handed over Rs 500 note which was denied by the grocery shop owner. I searched around four shops but no one was ready to accept the money. Finally, I had to buy grocery on credit,"" said Vishal Shinde, a resident of Rajarampuri.    Impact on transport services: Commuters travelling and entering city experienced difficulty on Tuesday as they were not having change and could not get any as the ATMs were out of order. The autorickshaw drivers at Central Bus Stand did not allow passengers having notes legal currency notes. Traffic cops also experienced difficulty as they did not have exchange after they charged errant drivers with a fine of Rs 100 or Rs 200.    Satishchandra Kamble, president of private luxury bus association, said, ""All members of our organization convened a meeting on Wednesday and decided to accept the notes of Rs. 500 and Rs 1,000 from tourists that will book tickets with us. Ours is a fair business and we do not need to worry about exchanging money. We will deposit these notes in our bank accounts.""    Subhash Jadhav, president of Kolhapur District Lorry Operators Association, said, ""The truck drivers are experiencing difficulties at fuel stations and dhabas. They can sustain for another one day with the cash available with them. We are worried how will they manage on road and exchange the cash they have with them.""",city,kolhapur,"Updated: Nov 10, 2016, 06.32 AM IST",Centre's demonetisation move impacts businesses across Kolhapur,,http://timesofindia.indiatimes.com//city/kolhapur/Centres-demonetisation-move-impacts-businesses-across-Kolhapur/articleshow/55343283.cms,toi
8,"KOCHI: Demonetization of Rs 1,000 and Rs 500 notes will have a cleansing effect on the state economy, which had been affected by the flow of hawala money and fake Indian currencies from the Middle East. A thriving underground economy and relatively-high real estate prices in Kerala, compared to its neighbours, are the results of these two factors.    Top enforcement directorate (ED) officials said that the Centre's abrupt decision has left hawala networks burdened with hordes of Rs 500 and Rs 1,000 notes which they can't now offload, leaving them in a tight spot.    ""The expected liquidity crunch and tight regulations in fund transactions in the coming days would definitely make such operations difficult in the short term,"" said a top official in ED's Kochi office, adding that the black economy for hawala transactions in Kerala could be in the range of Rs 700 crore a week. The figure was calculated on the basis of past seizures.    ""It remains to be seen how hawala networks will overcome the situation and how far they have managed to convert their cash holdings,"" a DRI official said.    Geojit BNP Paribas MD CJ George said that mopping up of black money will have positive results. ""Real estate and gold were two areas people were parking black money . With the demon etisation, apartments will be less expensive and the rent will come down.It can prompt a really healthy activity in real estate sector, eventually ,"" he said, adding that black money was pushing up realty prices.    Kerala hawala links with Pakistan is no secret. National Investigation Agency's (NIA) investigations had revealed that high quality fake notes, printed in Pakistan, were smuggled to Kerala through the Middle East. And they had terrorist connections too - when NIA dug up the case of a Malayali caught in 2008 at Karipur airport with fake notes (nearly Rs 72 lakh), it unearthed Tahir Taklya, one of the accused in 1993 serial Mumbai blast case. He had got the fakes from a Pakistani named Imitiaz Ibrahim.    In another smuggling case, registered in 2013 at Nedumbassery , NIA had found that Malayali smugglers had been getting fake notes from Dawood Ibrahim's syndicate in Pakistan by paying genuine currency in exchange since 2007. NIA has filed chargesheets in nine cases related to smuggling of fake Indian currency to Kerala. In fact, five of its six cases, registered at Kochi office in 2013, were of this nature.    Though police or enforcement agencies had prevented many attempts of fake currency smuggling, a huge number of them are still in circulation in Kerala. During calendar year 2014, police seized 623 fake notes of Rs 1,000 denomination, while the Reserve Bank caught 4,616 notes from various bank branches.    In a similar way 7,202 notes of Rs 500 denomination were seized during the same period. Over the years the menace widened. In 2012, the total number of Rs 1,000 and Rs 500 fake notes caught in Kerala was only 4,875.This grew to 8,975 notes in 2013 and 12,441 in 2014.",city,kochi,"Nov 10, 2016, 07.18 AM IST",Demonetisation move to curb Kerala's underground economy,,http://timesofindia.indiatimes.com//city/kochi/Demonetisation-move-to-curb-Keralas-underground-economy/articleshow/55343694.cms,toi
9,"HUBBALLI: Panic struck Hubballi, known as the commercial hub of North Karnataka, after the demonetization of Rs 500 and Rs 1,000 notes. Worried about their daily expenses, people started thronging to ATMs soon after Prime Minister Narendra Modi made the televised announcement on Tuesday night. There were long queues outside ATMs even past midnight as tensed commoners were busy withdrawing amount of less than Rs 500. Some people also used these facilities to deposit Rs 500 and Rs 1,000 notes.    On Wednesday morning, even government-run milk booths refused to accept Rs 500 and Rs 1,000 notes, stating that there is no clear instruction from the authorities. Customers were unsatisfied as Modi had named government-run milk booths as one of the places were Rs 500 and Rs 1,000 will be accepted.    Some people, who tried to disburse these notes at grocery stores, were disappointed as owners refuse to accept Rs 500 and Rs 1,000 for small purchases. There was confusion at some medical shops where these notes were not accepted. However as announced by the government, some medical outlets accepted these notes. Ravindra of Ravindra Medicals in Keshwapur said: ""Since the morning, most of the people came with Rs 500 and Rs 1,000 notes even for a purchase of Rs 40-50. Unfortunately, despite having notes of Rs 100 and Rs 50, people were giving Rs 500 and Rs 1,000.""    Petrol bunks in the city were flooded with people who wanted to exchange their Rs 500 and Rs 1,000 notes. The staff there had tough time announcement that they are short of currency change.    Ashpak K, manager at Mahaveer petrol bunk in New Cotton Market, said that people in need of lower denomination of notes hit the filling station in large numbers. ""Because of the rush, we are asking customers to wait. Compared to the usual daily turnout, today the business is likely to shoot up. We register a sale of around 2,500 litres of petrol and 11,000 litres of diesel a day, but today it is likely to rise,"" he added.    The government's move impacted public transport systems. Before boarding, passengers were asked if they have valid currency notes.    The Ranebennur-Mumbai bus, which was supposed to leave Hubballi Old Bus Terminus by 1pm, was delayed by more than 45 minutes due to lack of change. Riyaz Patel paid Rs 500 for a ticket of Rs 79 from Haveri to Haveri.    When the bus reached Hubballi, bus conductor Umapathi failed to manage the exact change. Even Umapathi's colleagues did not help him in managing the change. The bus left Hubballi only after Umapathi managed to get the change.    Krishnamurthy Uchilla, owner of Hotel Sri Krishna Bhavan, said that business was dull. ""Due to lack of change, customers are requesting to pay bills after two days,"" he said.    In the Old Bus Terminus, the reservation counter was closed for some time due to the non-availability of Rs 100 notes. The counter issuing daily passes was closed for the day due to the same reason.",city,hubballi,"Updated: Nov 10, 2016, 08.29 AM IST","Panic in Hubballi after the demonetization of Rs 500 and Rs 1,000 notes",,http://timesofindia.indiatimes.com//city/hubballi/Panic-in-Hubballi-after-the-demonetization-of-Rs-500-and-Rs-1000-notes/articleshow/55344153.cms,toi
