,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - AUGUST 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,1,ABHYUDAYA CO-OP BANK LTD,40801,2313.26,110826,3789.99
,2,ABU DHABI COMMERCIAL BANK,2815,1611.19,610,804.20
,3,AHMEDABAD MERCANTILE COOP BANK,5419,454.72,15864,1058.53
,4,AKOLA DISTRICT CENTRAL CO-OP BANK,3369,232.89,6569,216.71
,5,ALLAHABAD BANK,1267789,61781.87,2291128,85250.08
,6,ALMORA URBAN CO-OPERATIVE BANK LTD,8777,566.81,12675,519.39
,7,ANDHRA BANK,550958,71352.09,2128731,98389.15
,8,ANDHRA PRAGATHI GRAMEENA BANK,20053,2525.31,52057,2441.96
,9,ANZ Banking Group Limited,24294,7885.06,2714,5022.28
,10,APNA SAHAKARI BANKLTD,6091,423.93,20334,1025.87
,11,AXIS BANK,10156807,590045.78,5175549,487927.51
,12,Akola Janata Commercial Co-Op Bank,4526,532.51,4069,345.69
,13,B N PARIBAS,321154,78575.37,113040,97666.41
,14,BANDHAN BANK LIMITED,55179,2871.88,41720,2126.43
,15,BANK INTERNASIONAL INDONESIA,1554,202.42,45,118.70
,16,BANK OF AMERICA,744802,79176.58,80543,45484.79
,17,BANK OF BAHARIEN AND KUWAIT,32038,2238.85,1662,941.21
,18,BANK OF BARODA,1799150,132517.84,5962715,210494.40
,19,BANK OF CEYLON,1002,49.88,462,128.69
,20,BANK OF INDIA,1416236,71420.94,5012084,198500.58
,21,BANK OF MAHARASHTRA,753885,44740.19,1542148,84106.52
,22,BANK OF NOVA SCOTIA,2756,899.99,985,3391.83
,23,BANK OF TOKYO AND MITSUBISHI,37206,7465.12,5437,9926.93
,24,BARCLAYS BANK,30340,5717.86,1901,4289.80
,25,BASSEIN CATHOLIC CO-OP BANK LTD,9586,773.00,25620,1270.75
,26,BHARAT CO-OP BANK LTD,38620,3444.46,71000,4351.96
,27,BHARATIYA MAHILA BANK LTD,5733,189.43,13949,395.02
,28,CANARA BANK,1534683,155943.74,3431116,192241.67
,29,CAPITAL LOCAL AREA BANK LTD,7605,523.35,9954,1116.09
,30,CATHOLIC SYRIAN BANK LTD.,72376,5619.03,90894,6281.34
,31,CENTRAL BANK OF INDIA,1292940,77453.87,3969949,124661.85
,32,CITI BANK,4288650,647698.35,1756386,434456.92
