,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - DECEMBER 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT     (Rs. Million),NO. OF TRANSACTIONS,AMOUNT   (Rs. Million)
,1,ABHYUDAYA CO-OP BANK LTD,81604,3668.56,158899,5188.99
,2,ABU DHABI COMMERCIAL BANK,2758,1132.81,735,780.41
,3,AHMEDABAD MERCANTILE COOP BANK,7700,580.56,19112,1118.08
,4,AIRTEL PAYMENTS BANK LIMITED,494,131.72,109,0.79
,5,AKOLA DISTRICT CENTRAL CO-OP BANK,29135,1065.45,11318,382.47
,6,ALLAHABAD BANK,1463412,88730.42,3396928,126862.44
,7,ALMORA URBAN CO-OPERATIVE BANK LTD,13023,917.37,18782,1348.03
,8,ANDHRA BANK,1300417,119090.07,3750632,153598.62
,9,ANDHRA PRAGATHI GRAMEENA BANK,101701,3950.19,173124,3428.19
,10,ANZ Banking Group Limited,26624,9468.22,2840,6273.42
,11,APNA SAHAKARI BANKLTD,13117,805.27,30947,1368.25
,12,AXIS BANK,15732438,832956.63,7581842,647871.34
,13,Akola Janata Commercial Co-Op Bank,11360,1212.06,9253,904.04
,14,B N PARIBAS,354202,95891.88,125652,133432.87
,15,BANDHAN BANK LIMITED,138025,6115.42,107231,6594.04
,16,BANK INTERNASIONAL INDONESIA,1870,369.13,93,192.25
,17,BANK OF AMERICA,805153,105139.00,96759,59720.41
,18,BANK OF BAHARIEN AND KUWAIT,27018,2460.28,2548,998.70
,19,BANK OF BARODA,2909928,234928.52,7843582,284009.21
,20,BANK OF CEYLON,1251,83.56,523,252.77
,21,BANK OF INDIA,2163862,118608.85,6881002,272336.74
,22,BANK OF MAHARASHTRA,1034273,57456.03,2209161,101505.56
,23,BANK OF NOVA SCOTIA,1015,1361.25,1131,6538.67
,24,BANK OF TOKYO AND MITSUBISHI,47405,13922.66,6238,10488.82
,25,BARCLAYS BANK,39784,8269.28,2195,6347.31
,26,BASSEIN CATHOLIC CO-OP BANK LTD,18258,1305.04,37198,2145.02
,27,BHARAT CO-OP BANK LTD,60587,4851.20,111615,7160.52
,28,BHARATIYA MAHILA BANK LTD,11568,333.41,20658,484.60
,29,CANARA BANK,2770690,201759.94,5239496,297356.69
,30,CAPITAL LOCAL AREA BANK LTD,20314,1383.94,29547,2452.44
,31,CATHOLIC SYRIAN BANK LTD.,140318,9065.08,145707,9094.83
,32,CENTRAL BANK OF INDIA,1877189,137431.40,5077610,229683.36
