,,,,,,
NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - FEB 2017,,,,,
Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
1,ABHYUDAYA CO-OP BANK LTD,65689,2846.49,148400,4331.52
2,ABU DHABI COMMERCIAL BANK,2114,1156.65,627,213.9
3,AHMEDABAD MERCANTILE COOP BANK,8276,544.84,20969,1189.85
4,AIRTEL PAYMENTS BANK LIMITED,21447,623.61,7367,11.9
5,AKOLA DISTRICT CENTRAL CO-OP BANK,14875,667.51,18025,601.56
6,ALLAHABAD BANK,1178383,78334.01,2808349,107666.16
7,ALMORA URBAN CO-OPERATIVE BANK LTD,9293,474.43,15275,615.08
8,ANDHRA BANK,1007080,102738.75,3046112,134087.46
9,ANDHRA PRAGATHI GRAMEENA BANK,68903,3455.89,142909,3897.29
10,ANZ Banking Group Limited,23906,9262.4,3201,8020.15
11,APNA SAHAKARI BANKLTD,10448,669.42,30004,1098.78
12,AXIS BANK,12188636,701100.38,6536245,669674.52
13,Akola Janata Commercial Co-Op Bank,13407,1195.55,8300,896.13
14,B N PARIBAS,344819,98092.74,114442,131218.03
15,BANDHAN BANK LIMITED,139155,10621.33,131360,7469.39
16,BANK INTERNASIONAL INDONESIA,1443,216.02,30,18.31
17,BANK OF AMERICA,744290,85150.78,84230,45179.6
18,BANK OF BAHARIEN AND KUWAIT,23697,2309.64,1727,1097.49
19,BANK OF BARODA,2572193,196207.57,7008570,276625.43
20,BANK OF CEYLON,1306,62.13,451,204.52
21,BANK OF INDIA,1900371,110374.91,6298050,258037.06
22,BANK OF MAHARASHTRA,934995,52792.12,1930457,83688.14
23,BANK OF NOVA SCOTIA,795,1181.63,1096,4152.43
24,BANK OF TOKYO AND MITSUBISHI,41757,10060.35,6110,12351.39
25,BARCLAYS BANK,27843,9819.18,2095,19552.58
26,BASSEIN CATHOLIC CO-OP BANK LTD,15458,1140.88,37626,1428.77
27,BHARAT CO-OP BANK LTD,53938,4388.78,104441,5174.14
28,BHARATIYA MAHILA BANK LTD,8492,256.02,20335,297.26
29,CANARA BANK,2444015,195792.45,4624200,240939.92
30,CAPITAL LOCAL AREA BANK LTD,15805,915.04,24101,1766.24
31,CATHOLIC SYRIAN BANK LTD.,101634,6720.65,131466,7430.05
32,CENTRAL BANK OF INDIA,1700889,126809.63,4697367,186802.77
33,CITI BANK,4530973,755729.6,1790938,468186.72
34,CITIZEN CREDIT COOPERATIVE BANK LTD,7952,495.95,20078,808.71
35,CITY UNION BANK LTD,783351,32452.1,508762,28924.81
36,COMMONWEALTH BANK OF AUSTRALIA,18,0.65,15,0.47
37,CORPORATION BANK,2680773,105885.76,2428769,134721.45
38,COSMOS COOPERATIVE BANK,83239,8498.99,156699,9322.62
39,CREDIT AGRICOLE CORP N INVSMNT BANK,1273,601.19,1408,4217.77
40,CREDIT SUISSE AG,75,200.19,27,36.47
41,CTBC BANK CO LTD,538,928.71,243,518.03
42,DCB BANK LIMITED,201372,11046.29,138554,13547.58
43,DELHI STATE CO OP BANK LTD,2170,816.97,4739,204.1
44,DENA BANK,416484,41164.98,1086498,48758.11
45,DEOGIRI NAGARI SAHAKARI BANK LTD,4348,521.04,6209,365.25
46,DEUSTCHE BANK,2509742,239786.69,505998,190837.26
47,DEVELOPMENT BANK OF SINGAPORE,334008,69454.2,46993,29261.68
48,DHANLAXMI BANK LTD,167835,6693.4,146947,7526.21
49,DICGC,97,6.41,138,1.88
50,DOHA BANK QSC,17186,1712.92,572,156.15
51,DOMBIVLI NAGRIK SAHAKARI BANK,11972,1319.3,36281,1514.18
52,EQUITAS SMALL FINANCE BANK LIMITED,2259,174.45,2270,309.37
53,EXPORT IMPORT BANK OF INDIA,0,0,230,890.43
54,FEDERAL BANK,1648778,90394.8,1068342,66242.2
55,FIRSTRAND BANK,1878,258.21,257,104.62
56,GOPINATH PATIL PARSIK JAN SAHA BANK,16606,1577.83,47394,1713.68
57,GREATER BOMBAY CO-OP BANK,8128,582.65,31247,847.44
58,HDFC BANK,20359271,1495164.87,11360784,1578597.61
59,HIMACHAL PRADESH STATE COOPERATIVE,47872,1171.26,27928,1087.38
60,HSBC BANK,1574986,255625.48,443547,186097.78
61,ICICI BANK LTD,12415143,658805.85,9205324,796589.03
62,IDBI BANK,4286230,255821.89,2911058,309160.43
63,IDFC BANK LIMITED,78272,36140.36,51002,13314.15
64,IDUKKI DISTRICT COOPERATIVE BANK LT,5674,474.4,1888,305.12
65,INDIAN BANK,1329238,80787.66,3259421,109079.67
66,INDIAN OVERSEAS BANK,1548177,98883.11,2812826,118104.2
67,INDUSIND BANK,2008497,166685.23,822171,124331.57
68,INDUSTRIAL AND COM BANK OF CHINA LT,200,136.42,67,222.7
69,INDUSTRIAL BANK OF KOREA,469,95.99,100,328.33
70,JALGAON JANATA SAHKARI BANK LTD,8136,416.91,12295,811.6
71,JALGAON PEOPLES COOP BANK LTD,6453,765.18,11956,480.46
72,JAMMU AND KASHMIR BANK LTD,206222,17849.18,252657,22478.24
73,JANAKALYAN SAHAKARI BANK LTD,8630,761.76,27641,1265.33
74,JANATA SAHAKARI BANK LTD,38689,2782.26,58392,3340.41
75,JANSEVA SAHAKARI BANK BORIVILI LTD,2777,143.52,6113,225.52
76,JANSEVA SAHAKARI BANK PUNE,7334,332.64,21865,715.37
77,JP MORGAN BANK,329442,29984.99,6930,25662.81
78,KALLAPPANNA AWADE IJSB LTD,9719,536.88,12512,823.83
79,KALUPUR COMM COOPERATIVE BANK,15976,1794.17,47245,3159.14
80,KALYAN JANATA SAHAKARI BANK,9217,757.84,28060,1000.32
81,KAPOLE BANK,1283,75.51,6665,305.57
82,KARAD URBAN CO-OP BANK LTD,13227,883.84,24578,1539.79
83,KARNATAKA BANK LTD,377723,22094.15,855818,38938.01
84,KARNATAKA STATE COOP APEX BANK,64499,2392.92,114274,7823.57
