,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - JAN 2017,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,1,ABHYUDAYA CO-OP BANK LTD,76562,3414.19,160050,5132.50
,2,ABU DHABI COMMERCIAL BANK,2500,2130.89,678,410.83
,3,AHMEDABAD MERCANTILE COOP BANK,8476,613.59,19907,1243.30
,4,AIRTEL PAYMENTS BANK LIMITED,7669,670.65,1301,4.95
,5,AKOLA DISTRICT CENTRAL CO-OP BANK,14140,836.25,18994,573.68
,6,ALLAHABAD BANK,1450229,78874.48,3198333,119835.09
,7,ALMORA URBAN CO-OPERATIVE BANK LTD,13703,730.88,13374,456.30
,8,ANDHRA BANK,1309428,116197.54,3627641,159928.49
,9,ANDHRA PRAGATHI GRAMEENA BANK,83829,3930.38,140850,5396.60
,10,ANZ Banking Group Limited,26318,17831.90,3304,5845.93
,11,APNA SAHAKARI BANKLTD,14225,776.77,31995,1317.91
,12,AXIS BANK,14400888,775853.75,7271930,618129.10
,13,Akola Janata Commercial Co-Op Bank,17189,1531.44,9744,929.49
,14,B N PARIBAS,344290,106739.21,120722,117862.08
,15,BANDHAN BANK LIMITED,158434,6628.26,136495,6421.76
,16,BANK INTERNASIONAL INDONESIA,1696,536.44,52,5.96
,17,BANK OF AMERICA,741972,92330.93,96386,42673.98
,18,BANK OF BAHARIEN AND KUWAIT,28360,2481.96,2225,1732.73
,19,BANK OF BARODA,3044930,210306.00,7781882,301101.84
,20,BANK OF CEYLON,1348,211.85,515,158.05
,21,BANK OF INDIA,2187517,122680.79,7096090,276147.65
,22,BANK OF MAHARASHTRA,1143765,69645.36,2179436,108625.86
,23,BANK OF NOVA SCOTIA,925,651.85,969,5678.40
,24,BANK OF TOKYO AND MITSUBISHI,43000,15616.42,5821,12736.65
,25,BARCLAYS BANK,29450,6523.03,2167,7995.29
,26,BASSEIN CATHOLIC CO-OP BANK LTD,17196,1186.86,38669,1575.73
,27,BHARAT CO-OP BANK LTD,61493,4451.70,112406,6113.54
,28,BHARATIYA MAHILA BANK LTD,10287,306.16,21228,348.76
,29,CANARA BANK,2941808,209370.71,5222399,275847.92
,30,CAPITAL LOCAL AREA BANK LTD,20727,1066.18,31377,2161.40
,31,CATHOLIC SYRIAN BANK LTD.,134045,8117.98,147055,8850.89
,32,CENTRAL BANK OF INDIA,1955946,161574.75,5086971,175522.83
