,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - JULY 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT     (Rs. Million),NO. OF TRANSACTIONS,AMOUNT       (Rs. Million)
,1,ABHYUDAYA CO-OP BANK LTD,38030,2309.36,104050,3618.13
,2,ABU DHABI COMMERCIAL BANK,2011,901.53,541,172.16
,3,AHMEDABAD MERCANTILE COOP BANK,5594,487.69,14776,972.33
,4,AKOLA DISTRICT CENTRAL CO-OP BANK,6120,299.21,8656,118.18
,5,ALLAHABAD BANK,1184182,61573.94,2027154,94485.07
,6,ALMORA URBAN CO-OPERATIVE BANK LTD,8303,351.07,11888,786.07
,7,ANDHRA BANK,589266,82716.27,1878076,101154.67
,8,ANDHRA PRAGATHI GRAMEENA BANK,19672,4052.36,51983,4283.04
,9,ANZ Banking Group Limited,24370,7441.55,2506,4522.93
,10,APNA SAHAKARI BANKLTD,7138,472.01,19178,917.37
,11,AXIS BANK,9330629,573315.59,5040659,475510.79
,12,Akola Janata Commercial Co-Op Bank,4192,542.37,3830,339.76
,13,B N PARIBAS,320481,79206.65,113505,88158.54
,14,BANDHAN BANK LIMITED,41317,2374.03,32984,2244.15
,15,BANK INTERNASIONAL INDONESIA,1459,469.62,42,118.05
,16,BANK OF AMERICA,694659,71003.30,73889,39331.13
,17,BANK OF BAHARIEN AND KUWAIT,28962,1974.26,1445,1001.78
,18,BANK OF BARODA,1772524,159138.31,5729575,212212.87
,19,BANK OF CEYLON,980,86.79,377,109.05
,20,BANK OF INDIA,1241889,71759.48,5031372,205592.83
,21,BANK OF MAHARASHTRA,633681,51550.85,1740374,70128.15
,22,BANK OF NOVA SCOTIA,2693,1527.01,992,3590.44
,23,BANK OF TOKYO AND MITSUBISHI,36513,8453.09,5190,9032.31
,24,BARCLAYS BANK,31083,5742.27,1689,3294.87
,25,BASSEIN CATHOLIC CO-OP BANK LTD,8758,701.71,23615,1242.46
,26,BHARAT CO-OP BANK LTD,36898,3263.75,65247,3944.28
,27,BHARATIYA MAHILA BANK LTD,5206,190.85,14416,246.28
,28,CANARA BANK,1498314,149717.44,3254007,206144.99
,29,CAPITAL LOCAL AREA BANK LTD,7567,637.23,9786,890.56
,30,CATHOLIC SYRIAN BANK LTD.,67026,5613.35,86926,5773.25
,31,CENTRAL BANK OF INDIA,2538706,81831.26,3859010,123756.65
,32,CITI BANK,4156564,643714.47,1721316,378691.45
