,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - JUNE 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,1,ABHYUDAYA CO-OP BANK LTD,37810,2418.89,101211,3619.33
,2,ABU DHABI COMMERCIAL BANK,2290,2417.08,697,756.89
,3,AHMEDABAD MERCANTILE COOP BANK,5845,460.33,14393,954.43
,4,AKOLA DISTRICT CENTRAL CO-OP BANK,5512,391.94,11014,318.53
,5,ALLAHABAD BANK,1126304,59380.76,2344039,95903.14
,6,ALMORA URBAN CO-OPERATIVE BANK LTD,11647,303.35,11031,500.32
,7,ANDHRA BANK,584572,64852.78,2250555,104031.79
,8,ANDHRA PRAGATHI GRAMEENA BANK,19765,1798.63,43392,1653.51
,9,ANZ Banking Group Limited,22744,6735.44,2669,4747.92
,10,APNA SAHAKARI BANKLTD,5769,398.68,18028,963.30
,11,AXIS BANK,9379483,559535.18,5119135,503696.24
,12,Akola Janata Commercial Co-Op Bank,4747,771.47,3662,352.47
,13,B N PARIBAS,307594,73340.75,129260,97071.12
,14,BANDHAN BANK LIMITED,35060,1573.55,28704,1659.58
,15,BANK INTERNASIONAL INDONESIA,1407,223.74,40,49.23
,16,BANK OF AMERICA,750186,74326.28,80348,44176.96
,17,BANK OF BAHARIEN AND KUWAIT,29583,2772.32,1396,1540.98
,18,BANK OF BARODA,1767960,153423.20,5899163,225882.22
,19,BANK OF CEYLON,895,39.37,395,132.53
,20,BANK OF INDIA,1312005,71610.90,5585140,211428.90
,21,BANK OF MAHARASHTRA,685450,44554.17,2180902,71761.62
,22,BANK OF NOVA SCOTIA,3415,1292.69,1045,5088.59
,23,BANK OF TOKYO AND MITSUBISHI,37146,8142.76,5250,10519.51
,24,BARCLAYS BANK,44558,15625.99,1777,7735.09
,25,BASSEIN CATHOLIC CO-OP BANK LTD,8595,756.87,23425,1153.83
,26,BHARAT CO-OP BANK LTD,36205,3068.24,64956,4057.02
,27,BHARATIYA MAHILA BANK LTD,5247,199.61,14101,398.88
,28,CANARA BANK,1492000,152492.43,3345646,207372.00
,29,CAPITAL LOCAL AREA BANK LTD,7616,614.04,9520,1608.98
,30,CATHOLIC SYRIAN BANK LTD.,69375,5093.10,85065,6117.80
,31,CENTRAL BANK OF INDIA,3818445,99103.72,4017476,123115.31
,32,CITI BANK,4274101,605408.05,1719710,414212.38
