,,,,,,
NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - MARCH 2017,,,,,
Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
1,ABHYUDAYA CO-OP BANK LTD,75147,4035.14,173150,6179.84
2,ABU DHABI COMMERCIAL BANK,2725,1069.43,996,4046.57
3,AHMEDABAD MERCANTILE COOP BANK,12953,899.62,30505,2038.14
4,AIRTEL PAYMENTS BANK LIMITED,27561,652.57,10806,22.06
5,AKOLA DISTRICT CENTRAL CO-OP BANK,17033,924.66,24238,1071.12
6,ALLAHABAD BANK,1529219,114777.00,3862416,221232.00
7,ALMORA URBAN CO-OPERATIVE BANK LTD,11228,609.16,23402,917.22
8,ANDHRA BANK,1224252,134455.00,4089166,217199.00
9,ANDHRA PRAGATHI GRAMEENA BANK,64334,6523.54,164401,4558.50
10,ANZ Banking Group Limited,27287,9533.32,3189,5297.42
11,APNA SAHAKARI BANKLTD,12466,962.07,35903,1533.06
12,AXIS BANK,15591958,1098950.00,7801133,964933.00
13,Akola Janata Commercial Co-Op Bank,16432,1614.71,12069,1432.90
14,B N PARIBAS,404032,118764.00,137502,135207.00
15,BANDHAN BANK LIMITED,176870,9962.79,176684,14223.58
16,BANK INTERNASIONAL INDONESIA,1751,278.65,61,31.79
17,BANK OF AMERICA,791238,99293.41,102697,57291.48
18,BANK OF BAHARIEN AND KUWAIT,28083,2536.54,2631,1719.10
19,BANK OF BARODA,3124940,260636.00,9396071,430198.00
20,BANK OF CEYLON,1514,62.46,594,214.18
21,BANK OF INDIA,2242951,148932.00,8669399,405560.00
22,BANK OF MAHARASHTRA,1154909,99892.32,2409834,128860.00
23,BANK OF NOVA SCOTIA,1084,594.46,1239,6513.98
24,BANK OF TOKYO AND MITSUBISHI,51557,13217.51,7017,14217.77
25,BARCLAYS BANK,44000,6261.15,2681,6281.48
26,BASSEIN CATHOLIC CO-OP BANK LTD,18540,1555.71,44614,2196.38
27,BHARAT CO-OP BANK LTD,65899,6683.51,126045,8054.95
28,BHARATIYA MAHILA BANK LTD,9270,316.51,22907,514.85
29,CANARA BANK,3187595,277175.00,5573083,372536.00
30,CAPITAL LOCAL AREA BANK LTD,16645,1055.00,25502,2224.01
31,CATHOLIC SYRIAN BANK LTD.,120217,9653.80,159172,10597.31
32,CENTRAL BANK OF INDIA,2014228,168138.00,6917370,268374.00
33,CITI BANK,5869872,914930.00,2185135,712052.00
34,CITIZEN CREDIT COOPERATIVE BANK LTD,9654,815.78,25556,1239.91
35,CITY UNION BANK LTD,1066340,44850.86,591115,36549.33
36,COMMONWEALTH BANK OF AUSTRALIA,3,0.03,6,0.03
37,CORPORATION BANK,2714821,164982.00,3199092,227675.00
38,COSMOS COOPERATIVE BANK,100999,12577.39,194201,14113.34
39,CREDIT AGRICOLE CORP N INVSMNT BANK,1577,3632.80,271,7099.72
40,CREDIT SUISSE AG,80,1260.72,34,1505.92
41,CTBC BANK CO LTD,537,196.19,346,2002.86
42,DCB BANK LIMITED,220688,15467.49,171053,20670.83
43,DELHI STATE CO OP BANK LTD,2135,344.36,5377,221.25
44,DENA BANK,533412,64277.17,1479611,89025.60
45,DEOGIRI NAGARI SAHAKARI BANK LTD,4431,809.12,6873,430.21
46,DEUSTCHE BANK,2755394,326436.00,609690,237274.00
47,DEVELOPMENT BANK OF SINGAPORE,398286,99486.21,56598,29209.17
