,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - MAY 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,1,ABHYUDAYA CO-OP BANK LTD,37408,2149.64,97422,3470.74
,2,ABU DHABI COMMERCIAL BANK,2139,935.84,571,317.18
,3,AHMEDABAD MERCANTILE COOP BANK,5256,454.20,14251,974.37
,4,AKOLA DISTRICT CENTRAL CO-OP BANK,7118,427.71,9888,340.95
,5,ALLAHABAD BANK,1117325,60364.50,2221272,78413.53
,6,ALMORA URBAN CO-OPERATIVE BANK LTD,7377,295.46,6846,323.48
,7,ANDHRA BANK,550903,67245.48,2332211,94550.09
,8,ANDHRA PRAGATHI GRAMEENA BANK,20751,2666.36,129850,2476.14
,9,ANZ Banking Group Limited,22746,8237.67,2612,4363.43
,10,APNA SAHAKARI BANKLTD,5561,426.36,17426,944.57
,11,AXIS BANK,8769005,534557.25,4908467,449227.21
,12,Akola Janata Commercial Co-Op Bank,4330,740.18,3345,355.17
,13,B N PARIBAS,318386,70707.11,129529,80110.87
,14,BANDHAN BANK LIMITED,36049,1431.95,23885,1636.82
,15,BANK INTERNASIONAL INDONESIA,1316,163.97,33,16.38
,16,BANK OF AMERICA,686515,66190.76,77405,38727.40
,17,BANK OF BAHARIEN AND KUWAIT,29654,3536.18,1277,610.16
,18,BANK OF BARODA,1788834,124937.01,6733540,197672.44
,19,BANK OF CEYLON,928,64.49,336,119.21
,20,BANK OF INDIA,1308474,70083.91,5403341,190111.78
,21,BANK OF MAHARASHTRA,657570,42256.98,1765641,69679.22
,22,BANK OF NOVA SCOTIA,3591,1400.66,1072,5677.31
,23,BANK OF TOKYO AND MITSUBISHI,32494,9277.34,4973,8921.15
,24,BARCLAYS BANK,29057,7572.55,1660,5622.52
,25,BASSEIN CATHOLIC CO-OP BANK LTD,7373,573.17,22530,1281.24
,26,BHARAT CO-OP BANK LTD,34545,3108.09,60701,4086.85
,27,BHARATIYA MAHILA BANK LTD,8486,201.31,17385,329.69
,28,CANARA BANK,1622375,149249.89,3367941,181121.11
,29,CAPITAL LOCAL AREA BANK LTD,7557,670.15,10106,1567.89
,30,CATHOLIC SYRIAN BANK LTD.,69172,4420.36,86001,5799.47
,31,CENTRAL BANK OF INDIA,2609869,87011.91,4042033,127182.43
,32,CITI BANK,4258272,571170.15,1690727,377076.02
