,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - NOVEMBER 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,1,ABHYUDAYA CO-OP BANK LTD,54567,2730.17,122321,4179.03
,2,ABU DHABI COMMERCIAL BANK,2787,2034.91,680,363.77
,3,AHMEDABAD MERCANTILE COOP BANK,4883,432.11,15176,830.84
,4,AIRTEL PAYMENTS BANK LIMITED,19,0.88,36,0.01
,5,AKOLA DISTRICT CENTRAL CO-OP BANK,6482,401.75,3837,125.60
,6,ALLAHABAD BANK,956614,75693.63,2022743,84518.57
,7,ALMORA URBAN CO-OPERATIVE BANK LTD,9102,513.45,8805,323.77
,8,ANDHRA BANK,697079,77898.06,2313514,94085.32
,9,ANDHRA PRAGATHI GRAMEENA BANK,46024,3849.17,73945,1684.26
,10,ANZ Banking Group Limited,25313,7459.77,2937,4196.63
,11,APNA SAHAKARI BANKLTD,8832,578.15,22569,993.22
,12,AXIS BANK,14518712,677749.99,5756040,508386.61
,13,Akola Janata Commercial Co-Op Bank,5710,620.76,4738,525.59
,14,B N PARIBAS,309223,88949.82,108586,90565.53
,15,BANDHAN BANK LIMITED,95091,4803.52,55901,5625.95
,16,BANK INTERNASIONAL INDONESIA,1466,206.83,67,66.17
,17,BANK OF AMERICA,810566,95447.06,87339,55186.40
,18,BANK OF BAHARIEN AND KUWAIT,23323,2685.71,1789,651.73
,19,BANK OF BARODA,1920320,155986.71,5645242,207154.36
,20,BANK OF CEYLON,1149,43.91,501,235.81
,21,BANK OF INDIA,1297380,82383.53,4683070,219610.09
,22,BANK OF MAHARASHTRA,604141,40606.08,1427911,74047.53
,23,BANK OF NOVA SCOTIA,989,418.66,897,4183.92
,24,BANK OF TOKYO AND MITSUBISHI,33332,10457.82,5404,9585.80
,25,BARCLAYS BANK,29367,7041.99,2056,4759.69
,26,BASSEIN CATHOLIC CO-OP BANK LTD,13129,1020.84,27903,1244.81
,27,BHARAT CO-OP BANK LTD,43570,3672.62,82016,4825.50
,28,BHARATIYA MAHILA BANK LTD,7985,255.82,15614,619.30
,29,CANARA BANK,1673809,165508.86,3930925,215871.87
,30,CAPITAL LOCAL AREA BANK LTD,11910,878.39,13892,2520.83
,31,CATHOLIC SYRIAN BANK LTD.,89772,5660.74,102896,6908.53
,32,CENTRAL BANK OF INDIA,1121858,91018.38,3801197,126136.47
