,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - OCTOBER 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,1,ABHYUDAYA CO-OP BANK LTD,43757,2505.32,134274,4859.04
,2,ABU DHABI COMMERCIAL BANK,2486,888.23,636,537.30
,3,AHMEDABAD MERCANTILE COOP BANK,7038,635.18,20172,1363.62
,4,AKOLA DISTRICT CENTRAL CO-OP BANK,3244,484.34,8084,270.28
,5,ALLAHABAD BANK,1213994,72306.76,2574840,95053.25
,6,ALMORA URBAN CO-OPERATIVE BANK LTD,7323,422.29,17700,675.82
,7,ANDHRA BANK,562636,74275.06,2199537,113148.21
,8,ANDHRA PRAGATHI GRAMEENA BANK,20741,1342.98,60859,1655.30
,9,ANZ Banking Group Limited,26161,6847.35,2610,6116.36
,10,APNA SAHAKARI BANKLTD,6445,567.03,23283,1035.51
,11,AXIS BANK,13789791,653635.86,5975538,571628.56
,12,Akola Janata Commercial Co-Op Bank,4864,792.74,4433,441.88
,13,B N PARIBAS,387846,73024.65,107465,111928.49
,14,BANDHAN BANK LIMITED,84245,2963.59,53532,2822.29
,15,BANK INTERNASIONAL INDONESIA,1477,222.85,36,39.78
,16,BANK OF AMERICA,775128,78803.06,74674,49816.30
,17,BANK OF BAHARIEN AND KUWAIT,24598,1867.71,1459,852.30
,18,BANK OF BARODA,2003742,162122.68,6867875,240982.01
,19,BANK OF CEYLON,994,36.39,462,147.95
,20,BANK OF INDIA,1565190,98562.09,6282774,258666.89
,21,BANK OF MAHARASHTRA,747864,52380.50,1857388,80170.83
,22,BANK OF NOVA SCOTIA,1602,1902.73,954,4053.19
,23,BANK OF TOKYO AND MITSUBISHI,47738,11088.75,5520,10570.23
,24,BARCLAYS BANK,32355,14826.14,2150,5092.34
,25,BASSEIN CATHOLIC CO-OP BANK LTD,11706,1012.87,29475,1607.13
,26,BHARAT CO-OP BANK LTD,42339,3817.38,78985,5133.24
,27,BHARATIYA MAHILA BANK LTD,5502,181.90,18034,476.56
,28,CANARA BANK,1633937,156299.14,3825945,212665.04
,29,CAPITAL LOCAL AREA BANK LTD,8254,639.34,11501,2139.46
,30,CATHOLIC SYRIAN BANK LTD.,69493,6236.26,86811,5645.79
,31,CENTRAL BANK OF INDIA,1414014,92736.71,4973961,141018.99
,32,CITI BANK,4454889,687887.06,1834950,473014.06
