,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - SEPTEMBER 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,1,ABHYUDAYA CO-OP BANK LTD,39431,2233.91,107036,3650.23
,2,ABU DHABI COMMERCIAL BANK,2725,1339.72,632,511.27
,3,AHMEDABAD MERCANTILE COOP BANK,5970,481.06,16446,1058.39
,4,AKOLA DISTRICT CENTRAL CO-OP BANK,4167,365.37,4777,288.98
,5,ALLAHABAD BANK,1111152,60727.74,2178969,100767.78
,6,ALMORA URBAN CO-OPERATIVE BANK LTD,6786,318.09,11995,468.49
,7,ANDHRA BANK,638207,79781.18,2107622,103818.36
,8,ANDHRA PRAGATHI GRAMEENA BANK,30468,1576.29,154887,1699.30
,9,ANZ Banking Group Limited,24393,5381.46,2820,7033.26
,10,APNA SAHAKARI BANKLTD,7682,554.90,19154,969.00
,11,AXIS BANK,11244781,641539.79,5183756,617382.33
,12,Akola Janata Commercial Co-Op Bank,4523,600.65,3964,365.82
,13,B N PARIBAS,319632,85672.66,108870,91714.82
,14,BANDHAN BANK LIMITED,55992,4426.33,46289,2923.35
,15,BANK INTERNASIONAL INDONESIA,1392,219.19,36,110.09
,16,BANK OF AMERICA,737900,100003.10,77757,44464.66
,17,BANK OF BAHARIEN AND KUWAIT,28320,1826.10,1343,837.59
,18,BANK OF BARODA,1781264,135306.01,5910239,228381.69
,19,BANK OF CEYLON,946,46.18,454,151.82
,20,BANK OF INDIA,1386342,85986.23,5077917,230761.86
,21,BANK OF MAHARASHTRA,725185,43152.18,1501509,70979.26
,22,BANK OF NOVA SCOTIA,2249,782.88,878,4837.95
,23,BANK OF TOKYO AND MITSUBISHI,39061,17620.69,5352,11935.07
,24,BARCLAYS BANK,43881,11038.39,1911,6396.50
,25,BASSEIN CATHOLIC CO-OP BANK LTD,8952,754.36,24483,1428.77
,26,BHARAT CO-OP BANK LTD,37527,3596.41,72873,4235.83
,27,BHARATIYA MAHILA BANK LTD,5408,174.14,12375,291.99
,28,CANARA BANK,1482416,159383.88,3462088,229889.01
,29,CAPITAL LOCAL AREA BANK LTD,8478,622.67,10313,1068.75
,30,CATHOLIC SYRIAN BANK LTD.,64892,5139.02,89461,5873.69
,31,CENTRAL BANK OF INDIA,1264785,86497.87,4022022,145517.01
,32,CITI BANK,4339889,653957.35,1720527,484089.18
